osm_id;ort;plz;bundesland;eintrag
1104550;Aach;78267;Baden-Württemberg;Weltklasse
1255910;Aach;54298;Rheinland-Pfalz;Weltklasse
62564;Aachen;52062;Nordrhein-Westfalen;Weltklasse
62564;Aachen;52064;Nordrhein-Westfalen;Weltklasse
62564;Aachen;52066;Nordrhein-Westfalen;Weltklasse
62564;Aachen;52068;Nordrhein-Westfalen;Weltklasse
62564;Aachen;52070;Nordrhein-Westfalen;Weltklasse
62564;Aachen;52072;Nordrhein-Westfalen;Weltklasse
62564;Aachen;52074;Nordrhein-Westfalen;Weltklasse
62564;Aachen;52076;Nordrhein-Westfalen;Weltklasse
62564;Aachen;52078;Nordrhein-Westfalen;Weltklasse
62564;Aachen;52080;Nordrhein-Westfalen;Weltklasse
915486;Aalen;73430;Baden-Württemberg;Weltklasse
915486;Aalen;73431;Baden-Württemberg;Weltklasse
915486;Aalen;73432;Baden-Württemberg;Weltklasse
915486;Aalen;73433;Baden-Württemberg;Weltklasse
915486;Aalen;73434;Baden-Württemberg;Weltklasse
413109;Aarbergen;65326;Hessen;Weltklasse
448770;Aasbüttel;25560;Schleswig-Holstein;Weltklasse
158409;Abenberg;91183;Bayern;Weltklasse
956651;Abensberg;93326;Bayern;Weltklasse
1244276;Abentheuer;55767;Rheinland-Pfalz;Weltklasse
1015097;Absberg;91720;Bayern;Weltklasse
410485;Abstatt;74232;Baden-Württemberg;Weltklasse
2389084;Abtsbessingen;99713;Thüringen;Weltklasse
915445;Abtsgmünd;73453;Baden-Württemberg;Weltklasse
537061;Abtsteinach;69518;Hessen;Weltklasse
283691;Abtswind;97355;Bayern;Weltklasse
1244067;Abtweiler;55568;Rheinland-Pfalz;Weltklasse
2806596;Achberg;88147;Baden-Württemberg;Weltklasse
452972;Achern;77855;Baden-Württemberg;Weltklasse
1182036;Achim;28832;Niedersachsen;Weltklasse
959175;Achslach;94250;Bayern;Weltklasse
2801019;Achstetten;88480;Baden-Württemberg;Weltklasse
548033;Acht;56729;Rheinland-Pfalz;Weltklasse
1246405;Achtelsbach;55767;Rheinland-Pfalz;Weltklasse
548502;Achterwehr;24239;Schleswig-Holstein;Weltklasse
1417214;Achtrup;25917;Schleswig-Holstein;Weltklasse
2825844;Adelberg;73099;Baden-Württemberg;Weltklasse
1399100;Adelebsen;37139;Niedersachsen;Weltklasse
1796300;Adelheidsdorf;29352;Niedersachsen;Weltklasse
915446;Adelmannsfelden;73486;Baden-Württemberg;Weltklasse
943553;Adelschlag;85111;Bayern;Weltklasse
1016518;Adelsdorf;91325;Bayern;Weltklasse
403733;Adelsheim;74740;Baden-Württemberg;Weltklasse
534077;Adelshofen;91587;Bayern;Weltklasse
933549;Adelshofen;82276;Bayern;Weltklasse
452562;Adelsried;86477;Bayern;Weltklasse
163655;Adelzhausen;86559;Bayern;Weltklasse
1060416;Adenau;53518;Rheinland-Pfalz;Weltklasse
1246784;Adenbach;67742;Rheinland-Pfalz;Weltklasse
1363679;Adenbüttel;38528;Niedersachsen;Weltklasse
1392133;Adendorf;21365;Niedersachsen;Weltklasse
1182650;Adenstedt;31079;Niedersachsen;Weltklasse
55756;Adlershof;12487;Berlin;Weltklasse
55756;Adlershof;12489;Berlin;Weltklasse
191347;Adlkofen;84166;Bayern;Weltklasse
391131;Admannshagen-Bargeshagen;18211;Mecklenburg-Vorpommern;Weltklasse
443610;Adorf;08626;Sachsen;Weltklasse
448016;Aebtissinwisch;25572;Schleswig-Holstein;Weltklasse
1169356;Aerzen;31855;Niedersachsen;Weltklasse
405290;Affalterbach;71563;Baden-Württemberg;Weltklasse
393482;Affing;86444;Bayern;Weltklasse
1992924;Affinghausen;27257;Niedersachsen;Weltklasse
1171872;Affler;54689;Rheinland-Pfalz;Weltklasse
445842;Agathenburg;21684;Niedersachsen;Weltklasse
448765;Agethorst;25560;Schleswig-Holstein;Weltklasse
403747;Aglasterhausen;74858;Baden-Württemberg;Weltklasse
191355;Aham;84168;Bayern;Weltklasse
162877;Ahaus;48683;Nordrhein-Westfalen;Weltklasse
965596;Ahausen;27367;Niedersachsen;Weltklasse
1408072;Ahlbeck;17375;Mecklenburg-Vorpommern;Weltklasse
1808860;Ahlden;29693;Niedersachsen;Weltklasse
548612;Ahlefeld-Bistensee;24358;Schleswig-Holstein;Weltklasse
152285;Ahlen;59227;Nordrhein-Westfalen;Weltklasse
152285;Ahlen;59229;Nordrhein-Westfalen;Weltklasse
446435;Ahlerstedt;21702;Niedersachsen;Weltklasse
2409456;Ahlsdorf;06313;Sachsen-Anhalt;Weltklasse
1273264;Ahlstädt;98553;Thüringen;Weltklasse
530915;Ahnatal;34292;Hessen;Weltklasse
1145086;Ahneby;24996;Schleswig-Holstein;Weltklasse
1797682;Ahnsbeck;29353;Niedersachsen;Weltklasse
1169362;Ahnsen;31708;Niedersachsen;Weltklasse
959667;Aholfing;94345;Bayern;Weltklasse
959803;Aholming;94527;Bayern;Weltklasse
401808;Ahorn;74744;Baden-Württemberg;Weltklasse
956872;Ahorn;96482;Bayern;Weltklasse
1071012;Ahorntal;95491;Bayern;Weltklasse
1021829;Ahrbrück;53506;Rheinland-Pfalz;Weltklasse
382442;Ahrensbök;23623;Schleswig-Holstein;Weltklasse
453746;Ahrensburg;22926;Schleswig-Holstein;Weltklasse
1318349;Ahrensfelde;16356;Brandenburg;Weltklasse
374204;Ahrenshagen-Daskow;18320;Mecklenburg-Vorpommern;Weltklasse
1406816;Ahrenshöft;25853;Schleswig-Holstein;Weltklasse
374244;Ahrenshoop;18347;Mecklenburg-Vorpommern;Weltklasse
1406979;Ahrenviöl;25885;Schleswig-Holstein;Weltklasse
1406977;Ahrenviölfeld;24896;Schleswig-Holstein;Weltklasse
1406977;Ahrenviölfeld;25885;Schleswig-Holstein;Weltklasse
161897;Aichach;86551;Bayern;Weltklasse
958122;Aicha vorm Wald;94529;Bayern;Weltklasse
2792688;Aichelberg;73101;Baden-Württemberg;Weltklasse
935172;Aichen;86479;Bayern;Weltklasse
943754;Aichhalden;78733;Baden-Württemberg;Weltklasse
2806735;Aichstetten;88317;Baden-Württemberg;Weltklasse
2796466;Aichtal;72631;Baden-Württemberg;Weltklasse
2792901;Aichwald;73773;Baden-Württemberg;Weltklasse
958099;Aidenbach;94501;Bayern;Weltklasse
388769;Aidhausen;97491;Bayern;Weltklasse
722153;Aidlingen;71134;Baden-Württemberg;Weltklasse
956660;Aiglsbach;84089;Bayern;Weltklasse
535001;Ailertchen;56459;Rheinland-Pfalz;Weltklasse
162453;Aindling;86447;Bayern;Weltklasse
941761;Ainring;83404;Bayern;Weltklasse
956819;Aislingen;89344;Bayern;Weltklasse
959661;Aiterhofen;94330;Bayern;Weltklasse
1244183;Aitern;79677;Baden-Württemberg;Weltklasse
2806736;Aitrach;88319;Baden-Württemberg;Weltklasse
447974;Aitrang;87648;Bayern;Weltklasse
1329407;Aken (Elbe);06385;Sachsen-Anhalt;Weltklasse
1329407;Aken (Elbe);06386;Sachsen-Anhalt;Weltklasse
1284770;Aland;39615;Sachsen-Anhalt;Weltklasse
2186953;Albaching;83544;Bayern;Weltklasse
2786234;Albbruck;79774;Baden-Württemberg;Weltklasse
423032;Albersdorf;25767;Schleswig-Holstein;Weltklasse
2778355;Albersdorf;07646;Thüringen;Weltklasse
2792707;Albershausen;73095;Baden-Württemberg;Weltklasse
1252774;Albersweiler;76857;Rheinland-Pfalz;Weltklasse
283563;Albertshofen;97320;Bayern;Weltklasse
1246578;Albessen;66871;Rheinland-Pfalz;Weltklasse
1248583;Albig;55234;Rheinland-Pfalz;Weltklasse
